"emp_no","last_name","first_name","dept_name"
10002,"Simmel","Bezalel","Sales"
10016,"Cappelletti","Kazuhito","Sales"
10034,"Swan","Bader","Sales"
10041,"Lenart","Uri","Sales"
10050,"Dredge","Yinghua","Sales"
10053,"Zschoche","Sanjiv","Sales"
10060,"Billingsley","Breannda","Sales"
10061,"Herber","Tse","Sales"
10068,"Brattka","Charlene","Sales"
10087,"Eugenio","Xinglin","Sales"
10088,"Syrzycki","Jungsoon","Sales"
10089,"Flasterstein","Sudharsan","Sales"
10093,"Desikan","Sailaja","Sales"
10095,"Morton","Hilari","Sales"
10099,"Sullins","Valter","Sales"
10101,"Heyers","Perla","Sales"
10107,"Baca","Dung","Sales"
10125,"Hiltgen","Syozo","Sales"
10136,"Pintelas","Zissis","Sales"
10148,"Azumi","Douadi","Sales"
10149,"Perry","Xiadong","Sales"
10151,"Lichtner","Itzchak","Sales"
10160,"Khasidashvili","Debatosh","Sales"
10178,"Litvinov","Valery","Sales"
10185,"Sidhu","Duro","Sales"
10199,"Ranta","Kazuhisa","Sales"
10209,"Ellozy","Yolla","Sales"
10214,"Ciolek","Tadahiko","Sales"
10215,"Duclos","Xiaobin","Sales"
10226,"Plessier","Xinglin","Sales"
10228,"Cesareni","Karoline","Sales"
10232,"Auria","Marko","Sales"
10234,"Bakhtari","Arunachalam","Sales"
10236,"Bade","Susumu","Sales"
10237,"Mandell","Yannis","Sales"
10243,"Pouyioutas","Wonhee","Sales"
10248,"Tempesti","Frederique","Sales"
10253,"Salinas","Zsolt","Sales"
10254,"Brattka","Shen","Sales"
10256,"Radhakrishnan","Irene","Sales"
10262,"Maraist","Mahendra","Sales"
10270,"Hartvigsen","Bedir","Sales"
10273,"Lieblein","Baocai","Sales"
10277,"Schwartzbauer","Isaac","Sales"
10291,"Seghrouchni","Dipayan","Sales"
10292,"Ghelli","Yucel","Sales"
10296,"Lorho","Petter","Sales"
10299,"Stentiford","Ipke","Sales"
10302,"Baer","Faiza","Sales"
10304,"Erie","Bernt","Sales"
10306,"Kilgour","Heng","Sales"
10308,"Holburn","Dzung","Sales"
10314,"Apsitis","Christfried","Sales"
10319,"Miyakawa","Mechthild","Sales"
10320,"Stasinski","Uinam","Sales"
10321,"Ravishankar","Guenter","Sales"
10330,"Bellmore","Kasturi","Sales"
10331,"Binkley","Arto","Sales"
10335,"Bahi","Toshimori","Sales"
10346,"Radwan","Aamod","Sales"
10355,"Cochrane","Satyanarayana","Sales"
10361,"Sidou","Seshu","Sales"
10369,"Toyoshima","Qunsheng","Sales"
10370,"Fandrianto","Clyde","Sales"
10374,"Rosin","Willard","Sales"
10375,"Kalafatis","Dante","Sales"
10378,"Lichtner","Takahira","Sales"
10380,"Kamble","Alejandro","Sales"
10388,"Kaiser","Hironoby","Sales"
10398,"Escriba","Shooichi","Sales"
10399,"Marchegay","Guenter","Sales"
10400,"Nitto","Ortrud","Sales"
10403,"Mungall","Atreyi","Sales"
10407,"Siepmann","Ulf","Sales"
10408,"Kaiser","Martijn","Sales"
10410,"Gecsei","Takahito","Sales"
10411,"Klerer","Lidong","Sales"
10417,"Bakhtari","Bingning","Sales"
10427,"Sudbeck","Khosrow","Sales"
10431,"Bugrara","Patricio","Sales"
10442,"Unno","Volkmar","Sales"
10444,"Rosis","Kazuhira","Sales"
10448,"Oxenboll","Phule","Sales"
10449,"Sudkamp","Aleksandar","Sales"
10454,"Badr","Wonhee","Sales"
10455,"Streng","Sverrir","Sales"
10458,"Engelmann","Gina","Sales"
10461,"Karcich","Gal","Sales"
10463,"Zaiane","Ung","Sales"
10468,"Shobatake","Yoshimitsu","Sales"
10472,"Lodder","Salvador","Sales"
10490,"Vuskovic","Huiqun","Sales"
10493,"Haraldson","Maris","Sales"
10499,"Luft","Maik","Sales"
10504,"Varker","Xiong","Sales"
10505,"Auria","Isamu","Sales"
10509,"Riesenhuber","Abdelwaheb","Sales"
10510,"Slobodova","Keung","Sales"
10515,"Kirkerud","Raimond","Sales"
10517,"Speek","Tiina","Sales"
10521,"Setia","Kwangsub","Sales"
10525,"Lunt","Yuchang","Sales"
10532,"Wossner","Mary","Sales"
10533,"Smailagic","Mohamadou","Sales"
10536,"Sambasivam","Yechiam","Sales"
10537,"Benzmuller","Stella","Sales"
10539,"Reinhard","Yucel","Sales"
10541,"Eiter","Godehard","Sales"
10548,"Gunderson","Ramalingam","Sales"
10555,"Picci","Vitaly","Sales"
10559,"Comellas","Arumugam","Sales"
10561,"Joslin","Serge","Sales"
10567,"Journel","Dietrich","Sales"
10568,"Poulakidas","Gao","Sales"
10570,"Morrin","Alassane","Sales"
10573,"Speel","Tetsushi","Sales"
10592,"Alvarado","Almudena","Sales"
10596,"Coors","Sanjit","Sales"
10597,"Schaad","Lucien","Sales"
10600,"Rettelbach","Emran","Sales"
10603,"Restivo","Wayne","Sales"
10616,"Marwedel","Tommaso","Sales"
10619,"Kusakabe","Vivian","Sales"
10629,"Francisci","Lalit","Sales"
10633,"Herber","Sorina","Sales"
10637,"Frolund","Heejo","Sales"
10638,"Borovoy","Jenwei","Sales"
10640,"Meszaros","Anneke","Sales"
10644,"Benaini","Pranas","Sales"
10655,"Dalton","Remko","Sales"
10670,"McAffer","Shunichi","Sales"
10681,"Garnier","Florina","Sales"
10692,"Bage","Larisa","Sales"
10701,"Zolotykh","Hyuncheol","Sales"
10705,"Wynblatt","Hironobu","Sales"
10710,"Kermarrec","Sorina","Sales"
10725,"Isard","Garnet","Sales"
10744,"Syang","Yaghout","Sales"
10754,"Feinberg","Chenyi","Sales"
10765,"Norsworthy","Goetz","Sales"
10767,"Doering","Monique","Sales"
10770,"Perry","Bedir","Sales"
10788,"Ullian","Frazer","Sales"
10795,"Naudin","Supot","Sales"
10804,"Benantar","Terresa","Sales"
10807,"Zallocco","Munehiro","Sales"
10810,"Lunn","Lijie","Sales"
10813,"Shumilov","Shalesh","Sales"
10814,"Dymetman","Nidapan","Sales"
10817,"Rullman","Uri","Sales"
10828,"Gammage","Godehard","Sales"
10832,"Bergere","Hidde","Sales"
10836,"Leivant","Jianhua","Sales"
10837,"Karlin","Chuanti","Sales"
10855,"Reinhart","Kwangho","Sales"
10857,"Stenning","Fusako","Sales"
10862,"Kadhim","Zhenbing","Sales"
10864,"Spieker","Elliott","Sales"
10865,"Etalle","Danco","Sales"
10876,"Papastamatiou","Vincent","Sales"
10878,"Deville","Lakshmi","Sales"
10885,"Cronau","Rayond","Sales"
10889,"Coors","Cheong","Sales"
10890,"Furudate","Ramzi","Sales"
10895,"Petersohn","Vishwani","Sales"
10897,"Kumaresan","Arno","Sales"
10906,"Carrere","Munehiro","Sales"
10914,"Prochazka","Mizuhito","Sales"
10922,"Wossner","Kyoichi","Sales"
10923,"Maquelin","Younwoo","Sales"
10924,"Atchley","Hironoby","Sales"
10953,"Laventhal","Jahangir","Sales"
10955,"Danley","Urs","Sales"
10957,"Schnabel","Duke","Sales"
10959,"Vigier","Kerryn","Sales"
10960,"Braunschweig","Billur","Sales"
10962,"Kugler","Naraig","Sales"
10965,"Braunschweig","Eckart","Sales"
10968,"Kolinko","Lakshmi","Sales"
10977,"Murrill","Toong","Sales"
10981,"Dulin","Sugwoo","Sales"
10996,"Rahimi","Matk","Sales"
10998,"Kandlur","Marlo","Sales"
11001,"Buchter","Baziley","Sales"
11008,"Menhoudj","Gennady","Sales"
11009,"Axelband","Alper","Sales"
11015,"Riesenhuber","Jeanna","Sales"
11021,"Henders","Srinidhi","Sales"
11023,"Driscoll","Yifei","Sales"
11024,"Collavizza","Manton","Sales"
11029,"Itzfeldt","Georgi","Sales"
11029,"Itzfeldt","Georgi","Sales"
11044,"Cherinka","Elvia","Sales"
11048,"Demke","Jaques","Sales"
11048,"Demke","Jaques","Sales"
11055,"Neiman","Shaleah","Sales"
11056,"Speel","Palash","Sales"
11057,"Vural","Adly","Sales"
11059,"Jarecki","Shawna","Sales"
11061,"Erni","Pintsang","Sales"
11086,"Dalphin","Yishai","Sales"
11088,"Hennings","Sadun","Sales"
11092,"Stamatiou","Narain","Sales"
11096,"Zallocco","Shugo","Sales"
11098,"Covnot","Arnd","Sales"
11101,"Horswill","Manibrata","Sales"
11108,"Grabner","Danae","Sales"
11119,"Luga","Ramzi","Sales"
11124,"Porenta","Gladys","Sales"
11144,"Heinisuo","Carrsten","Sales"
11145,"Baak","Jinxi","Sales"
11149,"Imataki","Domenico","Sales"
11150,"Garigliano","Geraldo","Sales"
11154,"Ratnaker","Adel","Sales"
11159,"Schlenzig","Becky","Sales"
11163,"Huttel","Djenana","Sales"
11164,"Limongiello","Alain","Sales"
11168,"Tetzlaff","Shmuel","Sales"
11173,"Warwick","Tooru","Sales"
11189,"Bodoff","Dante","Sales"
11191,"Crooks","Pradeep","Sales"
11197,"Fordan","Tadahiro","Sales"
11198,"Gini","Leif","Sales"
11205,"Ebeling","Tayeb","Sales"
11206,"Sury","Steen","Sales"
11212,"Peternell","Teruyuki","Sales"
11214,"Ibel","Elgin","Sales"
11222,"Neimat","Yishai","Sales"
11226,"Akiyama","Margareta","Sales"
11237,"Salinas","Brendon","Sales"
11240,"Condotta","Kiam","Sales"
11241,"Clemencon","Yolla","Sales"
11249,"Cyre","Randi","Sales"
11254,"Rindone","Danel","Sales"
11256,"Ratzlaff","Gudjon","Sales"
11260,"Schade","Ingemar","Sales"
11269,"Slutz","Garnik","Sales"
11271,"Rajaraman","Hidde","Sales"
11272,"Molenkamp","Frederique","Sales"
11282,"Schaad","Josyula","Sales"
11286,"Gini","Joydip","Sales"
11289,"Cherinka","Chuanti","Sales"
11302,"Senzako","Shem","Sales"
11306,"Reeken","Subhankar","Sales"
11307,"Dratva","Mohd","Sales"
11310,"Swab","Jianhua","Sales"
11315,"Meriste","Neven","Sales"
11318,"Unno","Gopalakrishnan","Sales"
11328,"Ferriere","Xiong","Sales"
11329,"McConalogue","Limsoon","Sales"
11334,"Vural","Yurij","Sales"
11338,"Hanratty","Kwangsub","Sales"
11344,"Gulak","Paddy","Sales"
11354,"Stasinski","Tianruo","Sales"
11359,"Jayawardene","Subhrajyoti","Sales"
11360,"Schach","Fen","Sales"
11373,"Keohane","Yongmao","Sales"
11377,"Rosti","Dayanand","Sales"
11390,"Ambroszkiewicz","Masali","Sales"
11402,"Brizzi","Freyja","Sales"
11403,"Soicher","Baocai","Sales"
11413,"Murillo","Yannik","Sales"
11428,"Reinhart","Remco","Sales"
11430,"Klassen","Georgi","Sales"
11431,"Picht","Youngkon","Sales"
11442,"Rindone","Leucio","Sales"
11443,"Nivat","Szabolcs","Sales"
11469,"Giaccio","Guttorm","Sales"
11472,"Ghandeharizadeh","Constantino","Sales"
11479,"Pleszkun","Shridhar","Sales"
11481,"Schrooten","Sven","Sales"
11482,"Deverell","Uri","Sales"
11484,"Siepmann","Holgard","Sales"
11485,"Khalil","Nahid","Sales"
11487,"Cairo","Arumugam","Sales"
11493,"Sevcikova","Shen","Sales"
11496,"Marakhovsky","Toshimo","Sales"
11507,"Cangellaris","Kristian","Sales"
11515,"Basawa","Ulf","Sales"
11520,"Jervis","Pranas","Sales"
11521,"Eastman","Eldridge","Sales"
11530,"Jarecki","Oscar","Sales"
11536,"Pintelas","Mahmut","Sales"
11538,"Bage","Dekang","Sales"
11547,"Flexer","Kyoichi","Sales"
11548,"Leuchs","Nahid","Sales"
11552,"Ferretti","Tommaso","Sales"
11557,"Pesch","Candido","Sales"
11558,"Hofting","Sungwon","Sales"
11568,"Fujisaki","Martins","Sales"
11579,"Merel","Jinxi","Sales"
11587,"Zambonelli","Shem","Sales"
11595,"Kamber","Takanari","Sales"
11601,"Ritzmann","Erez","Sales"
11610,"Sidhu","Eirik","Sales"
11612,"Baar","Siamak","Sales"
11616,"Brendel","Zhilian","Sales"
11619,"Ozeki","Taiji","Sales"
11620,"Gadepally","Kwangho","Sales"
11622,"Ginneken","Moon","Sales"
11633,"Teitelbaum","Kazuyasu","Sales"
11659,"Pileggi","Tremaine","Sales"
11661,"Moffat","Candida","Sales"
11663,"Trumbly","Maria","Sales"
11664,"Brizzi","Oksana","Sales"
11664,"Brizzi","Oksana","Sales"
11666,"Chimia","Uno","Sales"
11668,"Wursthorn","Hiroyasu","Sales"
11672,"Businaro","Munir","Sales"
11673,"Felder","Henk","Sales"
11681,"Benzmuller","Fumitake","Sales"
11689,"Thisen","Jixiang","Sales"
11697,"Merey","JoAnne","Sales"
11699,"Desikan","Fumiya","Sales"
11707,"Hettesheimer","Tooru","Sales"
11709,"Wossner","Insup","Sales"
11716,"Leijenhorst","Anneli","Sales"
11718,"Marshall","Richard","Sales"
11719,"Baez","Claudi","Sales"
11721,"Heydon","Xuejun","Sales"
11723,"Bauknecht","Halsur","Sales"
11729,"Engberts","Xiong","Sales"
11730,"Delaune","Tzu","Sales"
11731,"Gargeya","Fumitaka","Sales"
11741,"Vigier","Valeri","Sales"
11747,"Kossowski","Aksel","Sales"
11748,"Massonet","Lihong","Sales"
11754,"Magliocco","Malu","Sales"
11774,"Wroclawski","Aron","Sales"
11782,"Lanzelotte","Tesuro","Sales"
11786,"Birch","Sarita","Sales"
11799,"Silva","Duro","Sales"
11802,"Benzmuller","Katsuo","Sales"
11812,"Merey","Taizo","Sales"
11814,"Shinomoto","Manohar","Sales"
11818,"Matteis","Dmitry","Sales"
11829,"Pettis","Chaosheng","Sales"
11831,"Billingsley","Udaiprakash","Sales"
11839,"Falck","Navid","Sales"
11841,"Bugrara","Elvia","Sales"
11850,"Maginnis","Bikash","Sales"
11851,"Copas","Suvo","Sales"
11854,"Gire","Fabrizio","Sales"
11858,"Baik","Slavian","Sales"
11860,"DeMori","Chriss","Sales"
11875,"Sambasivam","Luisa","Sales"
11876,"Kobuchi","Leszek","Sales"
11881,"Staelin","Arra","Sales"
11882,"Manders","Zhonghua","Sales"
11884,"Moehrke","Patricia","Sales"
11885,"Velasco","Sandeepan","Sales"
11891,"Bail","Hyuncheol","Sales"
11893,"Zobel","Vitali","Sales"
11898,"Piveteau","Jinya","Sales"
11905,"Vural","Sadegh","Sales"
11909,"Kobuchi","Yuichiro","Sales"
11928,"Wroclawski","Mang","Sales"
11937,"Baba","Zissis","Sales"
11943,"Chachaty","Ramalingam","Sales"
11947,"Lortz","Kiyomitsu","Sales"
11948,"Nergos","Yahiko","Sales"
11962,"Erde","Niranjan","Sales"
11963,"Gopalakrishnan","Kensyu","Sales"
11965,"Morrey","Arup","Sales"
11967,"Chinin","Guoxiang","Sales"
11971,"Cooke","Dhritiman","Sales"
11981,"Horswill","LiMin","Sales"
12012,"Zolotykh","Syozo","Sales"
12013,"Vidya","Baziley","Sales"
12014,"Lunt","Apostol","Sales"
12027,"Vuskovic","Zhanqiu","Sales"
12035,"Speer","Moss","Sales"
12038,"Businaro","Aruna","Sales"
12048,"Schwabacher","Rosine","Sales"
12055,"Kilgore","Rutger","Sales"
12068,"Frezza","Valery","Sales"
12077,"Hutton","Steve","Sales"
12081,"Prenel","Wanqing","Sales"
12083,"Quadeer","Irena","Sales"
12097,"Serdy","Mostafa","Sales"
12099,"Kuzuoka","Nobuyoshi","Sales"
12100,"Beznosov","Nevio","Sales"
12101,"Karcich","Unal","Sales"
12103,"Erie","Becky","Sales"
12114,"Rubsam","Shiv","Sales"
12120,"Schrift","Eckart","Sales"
12129,"Isaac","Hairong","Sales"
12130,"Scharstein","Abdelwaheb","Sales"
12147,"Srimani","Ghassan","Sales"
12150,"Boissier","Dekang","Sales"
12161,"Porenta","Tadahiko","Sales"
12180,"Ruemmler","Heejo","Sales"
12185,"Parascandalo","Toshiko","Sales"
12191,"Bazzichi","Rosella","Sales"
12201,"Pardalos","Heeju","Sales"
12214,"Rahimi","Shih","Sales"
12225,"Narahara","Yongqiao","Sales"
12226,"Joslin","Kankanahalli","Sales"
12231,"Bharadwaj","Nishit","Sales"
12233,"Gruenwald","Constantijn","Sales"
12235,"Haumacher","Honesty","Sales"
12236,"Thambidurai","Ebbe","Sales"
12239,"Kalloufi","Parviz","Sales"
12255,"Hoogerwoord","Pasqua","Sales"
12260,"Huttel","Mokhtar","Sales"
12263,"Alencar","Srinidhi","Sales"
12275,"Onuegbe","Heather","Sales"
12286,"Pesch","Owen","Sales"
12292,"Farrar","Wuxu","Sales"
12293,"Zielinski","Zhiguo","Sales"
12296,"Garnier","Kendra","Sales"
12297,"Krone","Yoshimitsu","Sales"
12298,"Rodham","Tetsurou","Sales"
12299,"Kushner","Billie","Sales"
12303,"Braccini","Godehard","Sales"
12308,"Cronau","Mototsugu","Sales"
12320,"Swick","Nobuyoshi","Sales"
12323,"Zweizig","Arra","Sales"
12327,"Bruckman","DAIDA","Sales"
12332,"Radhakrishnan","Kwun","Sales"
12351,"Zizka","Gennady","Sales"
12360,"Staudhammer","Shaibal","Sales"
12376,"Matzen","Kwangsub","Sales"
12393,"Uhrig","Soenke","Sales"
12395,"Felder","Sanjit","Sales"
12400,"Winter","Genki","Sales"
12402,"Speckmann","Shaowei","Sales"
12403,"Samarati","Thodoros","Sales"
12414,"Kruskal","Kish","Sales"
12414,"Kruskal","Kish","Sales"
12416,"Itzfeldt","Chenye","Sales"
12417,"Spelt","Dannz","Sales"
12433,"Harbusch","Roddy","Sales"
12437,"Cronan","Mohammed","Sales"
12440,"Engberts","Tesuro","Sales"
12450,"Perng","Sanjeeva","Sales"
12456,"Speel","Bodh","Sales"
12459,"Munos","Phule","Sales"
12463,"Lovengreen","Magdalena","Sales"
12466,"Nations","Cullen","Sales"
12481,"Uludag","Ipke","Sales"
12493,"Menhardt","Filipp","Sales"
12500,"Luke","Jackson","Sales"
12501,"Matheson","Morrie","Sales"
12508,"McConalogue","Kagan","Sales"
12515,"Wilharm","Pranav","Sales"
12523,"Casley","Tonia","Sales"
12525,"Senzako","Kokou","Sales"
12540,"Bresenham","Poornachandra","Sales"
12543,"Mandelberg","Byong","Sales"
12554,"Muhling","Debatosh","Sales"
12562,"Luby","Sven","Sales"
12567,"DasSarma","Horward","Sales"
12569,"Lundstrom","Thodoros","Sales"
12577,"Schrift","Takushi","Sales"
12584,"Engberts","Zijian","Sales"
12592,"Smailagic","Gina","Sales"
12593,"Melter","Lubomir","Sales"
12595,"Morrey","Yaghout","Sales"
12597,"Petereit","Kazuhito","Sales"
12600,"Garrabrants","Lucian","Sales"
12607,"Anguita","Gil","Sales"
12614,"Senzako","Sastry","Sales"
12619,"Auyong","Dinah","Sales"
12622,"Kobara","Jiafu","Sales"
12624,"Zykh","Zhongwei","Sales"
12626,"Comyn","Gill","Sales"
12626,"Comyn","Gill","Sales"
12631,"Ghandeharizadeh","Bogdan","Sales"
12642,"Gips","Suebskul","Sales"
12646,"Valtorta","Shir","Sales"
12653,"Kaelbling","Hitomi","Sales"
12657,"Peroz","Weiru","Sales"
12660,"Escriba","Stamatina","Sales"
12662,"Alvarado","Leucio","Sales"
12665,"Lanphier","Amalendu","Sales"
12675,"Krohm","Dekang","Sales"
12677,"Yavatkar","Christoper","Sales"
12683,"Chorvat","Mana","Sales"
12687,"Badache","Weicheng","Sales"
12689,"Boudaillier","Luerbio","Sales"
12692,"Openshaw","Sastry","Sales"
12700,"Krone","Billie","Sales"
12701,"Hennebert","Stafford","Sales"
12705,"Driscoll","Dung","Sales"
12706,"Woycyznski","Akeno","Sales"
12707,"Zastre","Gregory","Sales"
12709,"Botman","Ronghao","Sales"
12710,"Breugel","Nevin","Sales"
12718,"Kamber","Susanne","Sales"
12722,"Cheshire","Elliott","Sales"
12726,"Panwar","Fumitake","Sales"
12734,"Frijda","Gil","Sales"
12744,"Escriba","Woody","Sales"
12758,"Pashtan","Hauke","Sales"
12761,"Schaad","Hitofumi","Sales"
12763,"Lovengreen","Adamantios","Sales"
12769,"Gluchowski","Abdelwaheb","Sales"
