"emp_no","last_name","first_name","sex","salary"
57444,"Babb","Berry","F",48973
13616,"Lorho","Perry","F",40000
240129,"Karnin","Roddy","M",43548
427958,"Poujol","Feixiong","F",63377
35916,"Talmon","Wonhee","F",40000
67799,"Cools","Pantung","M",48111
105597,"Kabayashi","Christfried","M",43841
215615,"Chinal","Bader","F",40000
95280,"Hiraishi","Owen","F",40000
43471,"Gihr","Mechthild","F",40023
444985,"Verspoor","Giap","F",71042
492723,"Sanella","Piyawadee","M",46740
430653,"Peroz","Masoud","F",69077
222134,"Speer","Qunsheng","M",48391
406318,"Gunderson","Hitomi","M",55145
42625,"Swick","Harngdar","F",55095
451259,"Milicic","Zhenhua","M",46138
225842,"Schmezko","Bowen","M",40000
205366,"Shimshoni","Kazuhira","F",80518
223670,"Chinin","Erez","F",40000
292694,"Demizu","Kauko","M",40000
14097,"Gniady","Khalil","M",70604
62117,"Crouzet","Bojan","F",40000
209527,"Danlos","Sashi","M",40000
11980,"Pews","Yechezkel","M",58241
270258,"Hasenauer","Feipei","M",40000
457800,"Domenig","Stabislas","M",64014
201769,"Merel","Jayesh","M",48427
474291,"Jumpertz","Juichirou","M",40000
451340,"Zyda","Satosi","M",40000
246896,"Baik","Francoise","F",60075
109600,"Chvatal","Xuejun","M",78057
98882,"Vanwelkenhuysen","Yishay","F",40000
42924,"Felcyn","Mads","F",40000
427027,"Butner","Patricio","M",40000
439788,"Setia","Irene","F",40000
207791,"Schmittgen","Jahangir","M",43645
205714,"Ellozy","Anwar","M",51903
423740,"Bardell","Jaroslava","F",46599
286451,"Swiler","Shuichi","M",40000
260402,"Bach","Kwok","M",40000
279559,"Cronan","Jasminko","F",83729
470413,"Poehlman","Uzi","M",70750
486568,"Pappas","Kiam","M",57499
478993,"Buchter","Danny","M",44327
25597,"Gecsei","Emran","M",51902
496161,"Stille","Tonny","M",84192
251789,"Servi","Apostol","M",49636
293313,"Trelles","Dinkar","F",53910
208208,"Delgrossi","Jianhua","M",53107
435490,"Covnot","Zhensheng","M",57242
279067,"Rajaraman","Szabolcs","F",40000
441170,"Munck","Shir","F",60380
459062,"Delgrange","Suvo","M",57728
253130,"Talmor","Mahmut","F",50223
64385,"Poujol","Lokesh","M",46571
452220,"Schahn","Ingemar","M",40000
446313,"Benzmuller","Howell","M",41757
210276,"Braunmuhl","Nidapan","F",59644
86672,"Anido","JoAnne","F",40000
244316,"Kuszyk","Khun","M",82344
255456,"Tibblin","Aleksandar","F",86526
412477,"Janetzko","Xiaobin","M",50796
404690,"Morton","Hidde","M",69162
447021,"Denna","Shigeu","F",40000
292420,"Felder","Uma","M",40000
285589,"Frolund","Uta","M",51203
213776,"McAlpine","Hongzhu","M",40000
77078,"Vakili","Yannik","M",47537
